Asset Category Name,Asset Classification
Table,Furniture
Chair,Furniture
Cabinet,Furniture
Desktop,IT Equipment
Laptop,IT Equipment
Camera,IT Equipment
Projector,IT Equipment
Printer,IT Equipment
Scanner,IT Equipment
Peripherals,IT Equipment
Storage,IT Equipment
Fan,Appliances
Air-condition Unit,Appliances
Television,Appliances
Router,Systems & Networks
Switch,Systems & Networks
WiFi Router,Systems & Networks
Server,Systems & Networks
Radio,Communications & Connectivity
Telephone,Communications & Connectivity
Satellite Phone,Communications & Connectivity
VSAT,Communications & Connectivity
AVR,Power Supply
UPS,Power Supply
Crimping  Tool,Tools
Network Tester,Tools
