"Column Labels:","ID","Category","From","To","Value","Created On","Created By"
"","""MAT-UOM-CNV-00001""","Length","Meter","Meter",1.0,"2025-02-11 12:34:27.376860","Administrator"
"","""MAT-UOM-CNV-00002""","Length","Meter","Barleycorn",118.11,"2025-02-11 12:34:27.380725","Administrator"
"","""MAT-UOM-CNV-00003""","Length","Meter","Calibre",39.37,"2025-02-11 12:34:27.383945","Administrator"
"","""MAT-UOM-CNV-00004""","Length","Meter","Cable Length (UK)",0.005396,"2025-02-11 12:34:27.387315","Administrator"
"","""MAT-UOM-CNV-00005""","Length","Meter","Cable Length (US)",0.004557,"2025-02-11 12:34:27.390310","Administrator"
"","""MAT-UOM-CNV-00006""","Length","Meter","Cable Length",0.0054,"2025-02-11 12:34:27.393769","Administrator"
"","""MAT-UOM-CNV-00007""","Length","Meter","Centimeter",100.0,"2025-02-11 12:34:27.396726","Administrator"
"","""MAT-UOM-CNV-00008""","Length","Meter","Chain",0.04971,"2025-02-11 12:34:27.400008","Administrator"
"","""MAT-UOM-CNV-00009""","Length","Meter","Decimeter",10.0,"2025-02-11 12:34:27.403225","Administrator"
"","""MAT-UOM-CNV-00010""","Length","Meter","Ells (UK)",0.0,"2025-02-11 12:34:27.407263","Administrator"
"","""MAT-UOM-CNV-00011""","Length","Meter","Ems(Pica)",236.222,"2025-02-11 12:34:27.410673","Administrator"
"","""MAT-UOM-CNV-00012""","Length","Meter","Fathom",0.546807,"2025-02-11 12:34:27.413916","Administrator"
"","""MAT-UOM-CNV-00013""","Length","Meter","Foot",3.28084,"2025-02-11 12:34:27.417308","Administrator"
"","""MAT-UOM-CNV-00014""","Length","Meter","Furlong",0.004971,"2025-02-11 12:34:27.420479","Administrator"
"","""MAT-UOM-CNV-00015""","Length","Meter","Hand",9.84252,"2025-02-11 12:34:27.423663","Administrator"
"","""MAT-UOM-CNV-00016""","Length","Meter","Hectometer",0.01,"2025-02-11 12:34:27.426735","Administrator"
"","""MAT-UOM-CNV-00017""","Length","Meter","Inch",39.370079,"2025-02-11 12:34:27.429931","Administrator"
"","""MAT-UOM-CNV-00018""","Length","Meter","Kilometer",0.001,"2025-02-11 12:34:27.433070","Administrator"
"","""MAT-UOM-CNV-00019""","Length","Meter","Link",4.975124,"2025-02-11 12:34:27.438181","Administrator"
"","""MAT-UOM-CNV-00020""","Length","Meter","Micrometer",1000000.0,"2025-02-11 12:34:27.441950","Administrator"
"","""MAT-UOM-CNV-00021""","Length","Meter","Mile",0.000621,"2025-02-11 12:34:27.445299","Administrator"
"","""MAT-UOM-CNV-00022""","Length","Meter","Mile (Nautical)",0.00054,"2025-02-11 12:34:27.448965","Administrator"
"","""MAT-UOM-CNV-00023""","Length","Meter","Millimeter",1000.0,"2025-02-11 12:34:27.453035","Administrator"
"","""MAT-UOM-CNV-00024""","Length","Meter","Nanometer",1000000000.0,"2025-02-11 12:34:27.456204","Administrator"
"","""MAT-UOM-CNV-00025""","Length","Meter","Rod",0.198839,"2025-02-11 12:34:27.459250","Administrator"
"","""MAT-UOM-CNV-00026""","Length","Meter","Vara",1.19303,"2025-02-11 12:34:27.463776","Administrator"
"","""MAT-UOM-CNV-00027""","Length","Meter","Versta",0.000937,"2025-02-11 12:34:27.468296","Administrator"
"","""MAT-UOM-CNV-00028""","Length","Meter","Yard",1.0936133,"2025-02-11 12:34:27.474098","Administrator"
"","""MAT-UOM-CNV-00029""","Length","Meter","Arshin",1.406074,"2025-02-11 12:34:27.477495","Administrator"
"","""MAT-UOM-CNV-00030""","Length","Meter","Sazhen",0.468691,"2025-02-11 12:34:27.481373","Administrator"
"","""MAT-UOM-CNV-00031""","Length","Meter","Medio Metro",2.0,"2025-02-11 12:34:27.485578","Administrator"
"","""MAT-UOM-CNV-00032""","Area","Square Meter","Square Meter",1.0,"2025-02-11 12:34:27.489681","Administrator"
"","""MAT-UOM-CNV-00033""","Area","Square Meter","Centiarea",1.0,"2025-02-11 12:34:27.493072","Administrator"
"","""MAT-UOM-CNV-00034""","Area","Square Meter","Manzana",0.000143,"2025-02-11 12:34:27.496392","Administrator"
"","""MAT-UOM-CNV-00035""","Area","Square Meter","Caballeria",7e-06,"2025-02-11 12:34:27.499778","Administrator"
"","""MAT-UOM-CNV-00036""","Area","Square Meter","Square Kilometer",1e-06,"2025-02-11 12:34:27.504980","Administrator"
"","""MAT-UOM-CNV-00037""","Area","Square Meter","Are",0.01,"2025-02-11 12:34:27.508442","Administrator"
"","""MAT-UOM-CNV-00038""","Area","Square Meter","Acre",0.000247,"2025-02-11 12:34:27.511537","Administrator"
"","""MAT-UOM-CNV-00039""","Area","Square Meter","Acre (US)",0.000247,"2025-02-11 12:34:27.514939","Administrator"
"","""MAT-UOM-CNV-00040""","Area","Square Meter","Hectare",0.0001,"2025-02-11 12:34:27.518158","Administrator"
"","""MAT-UOM-CNV-00041""","Area","Square Meter","Square Yard",1.19599,"2025-02-11 12:34:27.521233","Administrator"
"","""MAT-UOM-CNV-00042""","Area","Square Meter","Square Foot",10.76391,"2025-02-11 12:34:27.524469","Administrator"
"","""MAT-UOM-CNV-00043""","Area","Square Meter","Square Inch",1550.0031,"2025-02-11 12:34:27.527811","Administrator"
"","""MAT-UOM-CNV-00044""","Area","Square Meter","Square Centimeter",10000.0,"2025-02-11 12:34:27.531156","Administrator"
"","""MAT-UOM-CNV-00045""","Area","Square Meter","Square Mile",3.86e-07,"2025-02-11 12:34:27.534383","Administrator"
"","""MAT-UOM-CNV-00046""","Speed","Meter/Second","Meter/Second",1.0,"2025-02-11 12:34:27.540420","Administrator"
"","""MAT-UOM-CNV-00047""","Speed","Meter/Second","Inch/Minute",2362.204724,"2025-02-11 12:34:27.543543","Administrator"
"","""MAT-UOM-CNV-00048""","Speed","Meter/Second","Foot/Minute",196.850394,"2025-02-11 12:34:27.547232","Administrator"
"","""MAT-UOM-CNV-00049""","Speed","Meter/Second","Inch/Second",39.370079,"2025-02-11 12:34:27.550400","Administrator"
"","""MAT-UOM-CNV-00050""","Speed","Meter/Second","Kilometer/Hour",3.6,"2025-02-11 12:34:27.553574","Administrator"
"","""MAT-UOM-CNV-00051""","Speed","Meter/Second","Foot/Second",3.28084,"2025-02-11 12:34:27.556844","Administrator"
"","""MAT-UOM-CNV-00052""","Speed","Meter/Second","Mile/Hour",2.236936,"2025-02-11 12:34:27.559883","Administrator"
"","""MAT-UOM-CNV-00053""","Speed","Meter/Second","Knot",1.943844,"2025-02-11 12:34:27.563118","Administrator"
"","""MAT-UOM-CNV-00054""","Speed","Meter/Second","Mile/Minute",0.037283,"2025-02-11 12:34:27.566551","Administrator"
"","""MAT-UOM-CNV-00055""","Speed","Meter/Second","Mile/Second",0.000621,"2025-02-11 12:34:27.569931","Administrator"
"","""MAT-UOM-CNV-00056""","Mass","Kg","Carat",5000.0,"2025-02-11 12:34:27.574012","Administrator"
"","""MAT-UOM-CNV-00057""","Mass","Kg","Cental",0.022046,"2025-02-11 12:34:27.577664","Administrator"
"","""MAT-UOM-CNV-00058""","Mass","Kg","Dram",564.383391,"2025-02-11 12:34:27.581203","Administrator"
"","""MAT-UOM-CNV-00059""","Mass","Kg","Grain",15432.358353,"2025-02-11 12:34:27.584707","Administrator"
"","""MAT-UOM-CNV-00060""","Mass","Kg","Gram",1000.0,"2025-02-11 12:34:27.588219","Administrator"
"","""MAT-UOM-CNV-00061""","Mass","Kg","Hundredweight (UK)",0.019684,"2025-02-11 12:34:27.591280","Administrator"
"","""MAT-UOM-CNV-00062""","Mass","Kg","Hundredweight (US)",0.022046,"2025-02-11 12:34:27.594662","Administrator"
"","""MAT-UOM-CNV-00063""","Mass","Kg","Quintal",0.01,"2025-02-11 12:34:27.598163","Administrator"
