Column Labels:,ID,UOM Name,Created On,Created By,Enabled,Must be Whole Number
,"""Unit""",Unit,34:26.9,Administrator,1,1
,"""Box""",Box,34:26.9,Administrator,1,1
,"""Nos""",Nos,34:26.9,Administrator,1,1
,"""Pair""",Pair,34:26.9,Administrator,1,1
,"""Set""",Set,34:26.9,Administrator,1,1
,"""Meter""",Meter,34:26.9,Administrator,1,0
,"""Barleycorn""",Barleycorn,34:26.9,Administrator,1,0
,"""Calibre""",Calibre,34:26.9,Administrator,1,0
,"""Cable Length (UK)""",Cable Length (UK),34:26.9,Administrator,1,0
,"""Cable Length (US)""",Cable Length (US),34:26.9,Administrator,1,0
,"""Cable Length""",Cable Length,34:26.9,Administrator,1,0
,"""Centimeter""",Centimeter,34:26.9,Administrator,1,0
,"""Chain""",Chain,34:26.9,Administrator,1,0
,"""Decimeter""",Decimeter,34:26.9,Administrator,1,0
,"""Ells (UK)""",Ells (UK),34:26.9,Administrator,1,0
,"""Ems(Pica)""",Ems(Pica),34:26.9,Administrator,1,0
,"""Fathom""",Fathom,34:26.9,Administrator,1,0
,"""Foot""",Foot,34:26.9,Administrator,1,0
,"""Furlong""",Furlong,34:26.9,Administrator,1,0
,"""Hand""",Hand,34:26.9,Administrator,1,0
,"""Hectometer""",Hectometer,34:26.9,Administrator,1,0
,"""Inch""",Inch,34:26.9,Administrator,1,0
,"""Kilometer""",Kilometer,34:26.9,Administrator,1,0
,"""Link""",Link,34:26.9,Administrator,1,0
,"""Micrometer""",Micrometer,34:26.9,Administrator,1,0
,"""Mile""",Mile,34:26.9,Administrator,1,0
,"""Mile (Nautical)""",Mile (Nautical),34:27.0,Administrator,1,0
,"""Millimeter""",Millimeter,34:27.0,Administrator,1,0
,"""Nanometer""",Nanometer,34:27.0,Administrator,1,0
,"""Rod""",Rod,34:27.0,Administrator,1,0
,"""Vara""",Vara,34:27.0,Administrator,1,0
,"""Versta""",Versta,34:27.0,Administrator,1,0
,"""Yard""",Yard,34:27.0,Administrator,1,0
,"""Arshin""",Arshin,34:27.0,Administrator,1,0
,"""Sazhen""",Sazhen,34:27.0,Administrator,1,0
,"""Medio Metro""",Medio Metro,34:27.0,Administrator,1,0
,"""Square Meter""",Square Meter,34:27.0,Administrator,1,0
,"""Centiarea""",Centiarea,34:27.0,Administrator,1,0
,"""Area""",Area,34:27.0,Administrator,1,0
,"""Manzana""",Manzana,34:27.0,Administrator,1,0
,"""Caballeria""",Caballeria,34:27.0,Administrator,1,0
,"""Square Kilometer""",Square Kilometer,34:27.0,Administrator,1,0
,"""Are""",Are,34:27.0,Administrator,1,0
,"""Acre""",Acre,34:27.0,Administrator,1,0
,"""Acre (US)""",Acre (US),34:27.0,Administrator,1,0
,"""Hectare""",Hectare,34:27.0,Administrator,1,0
,"""Square Yard""",Square Yard,34:27.0,Administrator,1,0
,"""Square Foot""",Square Foot,34:27.0,Administrator,1,0
,"""Square Inch""",Square Inch,34:27.0,Administrator,1,0
,"""Square Centimeter""",Square Centimeter,34:27.0,Administrator,1,0
,"""Square Mile""",Square Mile,34:27.0,Administrator,1,0
,"""Meter/Second""",Meter/Second,34:27.0,Administrator,1,0
,"""Inch/Minute""",Inch/Minute,34:27.0,Administrator,1,0
